relative_path,label,model_name,yaw_deg
approaching/Volkswagen_kombi_1973_yaw_140.png,approaching,Volkswagen_kombi_1973.glb,140
approaching/Volkswagen_kombi_1973_yaw_150.png,approaching,Volkswagen_kombi_1973.glb,150
approaching/Volkswagen_kombi_1973_yaw_170.png,approaching,Volkswagen_kombi_1973.glb,170
approaching/Volkswagen_kombi_1973_yaw_180.png,approaching,Volkswagen_kombi_1973.glb,180
approaching/Volkswagen_kombi_1973_yaw_200.png,approaching,Volkswagen_kombi_1973.glb,200
approaching/Volkswagen_kombi_1973_yaw_210.png,approaching,Volkswagen_kombi_1973.glb,210
approaching/audi_a7_yaw_140.png,approaching,audi_a7.glb,140
approaching/audi_a7_yaw_160.png,approaching,audi_a7.glb,160
approaching/audi_a7_yaw_170.png,approaching,audi_a7.glb,170
approaching/audi_a7_yaw_180.png,approaching,audi_a7.glb,180
approaching/audi_a7_yaw_190.png,approaching,audi_a7.glb,190
approaching/audi_r8_v10_plus_2016_yaw_140.png,approaching,audi_r8_v10_plus_2016.glb,140
approaching/audi_r8_v10_plus_2016_yaw_150.png,approaching,audi_r8_v10_plus_2016.glb,150
approaching/audi_r8_v10_plus_2016_yaw_170.png,approaching,audi_r8_v10_plus_2016.glb,170
approaching/audi_r8_v10_plus_2016_yaw_180.png,approaching,audi_r8_v10_plus_2016.glb,180
approaching/audi_r8_v10_plus_2016_yaw_190.png,approaching,audi_r8_v10_plus_2016.glb,190
approaching/audi_r8_v10_plus_2016_yaw_200.png,approaching,audi_r8_v10_plus_2016.glb,200
approaching/audi_r8_v10_plus_2016_yaw_210.png,approaching,audi_r8_v10_plus_2016.glb,210
approaching/batmobile_yaw_140.png,approaching,batmobile.glb,140
approaching/batmobile_yaw_150.png,approaching,batmobile.glb,150
approaching/batmobile_yaw_170.png,approaching,batmobile.glb,170
approaching/batmobile_yaw_210.png,approaching,batmobile.glb,210
approaching/bmw_7_alpine_yaw_140.png,approaching,bmw_7_alpine.glb,140
approaching/bmw_7_alpine_yaw_160.png,approaching,bmw_7_alpine.glb,160
approaching/bmw_7_alpine_yaw_170.png,approaching,bmw_7_alpine.glb,170
approaching/bmw_7_alpine_yaw_190.png,approaching,bmw_7_alpine.glb,190
approaching/bmw_7_alpine_yaw_200.png,approaching,bmw_7_alpine.glb,200
approaching/bmw_7_alpine_yaw_210.png,approaching,bmw_7_alpine.glb,210
approaching/bmw_e30_yaw_140.png,approaching,bmw_e30.glb,140
approaching/bmw_e30_yaw_150.png,approaching,bmw_e30.glb,150
approaching/bmw_e30_yaw_160.png,approaching,bmw_e30.glb,160
approaching/bmw_e30_yaw_190.png,approaching,bmw_e30.glb,190
approaching/bmw_e30_yaw_200.png,approaching,bmw_e30.glb,200
approaching/bmw_e30_yaw_210.png,approaching,bmw_e30.glb,210
approaching/bmw_e30_yaw_220.png,approaching,bmw_e30.glb,220
approaching/bmw_m4_competition_yaw_140.png,approaching,bmw_m4_competition.glb,140
approaching/bmw_m4_competition_yaw_150.png,approaching,bmw_m4_competition.glb,150
approaching/bmw_m4_competition_yaw_160.png,approaching,bmw_m4_competition.glb,160
approaching/bmw_m4_competition_yaw_170.png,approaching,bmw_m4_competition.glb,170
approaching/bmw_m4_competition_yaw_200.png,approaching,bmw_m4_competition.glb,200
approaching/bmw_m4_competition_yaw_210.png,approaching,bmw_m4_competition.glb,210
approaching/bmw_m4_competition_yaw_220.png,approaching,bmw_m4_competition.glb,220
approaching/bugatti_chiron_yaw_140.png,approaching,bugatti_chiron.glb,140
approaching/bugatti_chiron_yaw_200.png,approaching,bugatti_chiron.glb,200
approaching/bugatti_chiron_yaw_210.png,approaching,bugatti_chiron.glb,210
approaching/caterham_seven_620r_yaw_140.png,approaching,caterham_seven_620r.glb,140
approaching/caterham_seven_620r_yaw_150.png,approaching,caterham_seven_620r.glb,150
approaching/caterham_seven_620r_yaw_160.png,approaching,caterham_seven_620r.glb,160
approaching/caterham_seven_620r_yaw_170.png,approaching,caterham_seven_620r.glb,170
approaching/caterham_seven_620r_yaw_190.png,approaching,caterham_seven_620r.glb,190
approaching/caterham_seven_620r_yaw_200.png,approaching,caterham_seven_620r.glb,200
approaching/ferrari_f40_yaw_140.png,approaching,ferrari_f40.glb,140
approaching/ferrari_f40_yaw_150.png,approaching,ferrari_f40.glb,150
approaching/ferrari_f40_yaw_160.png,approaching,ferrari_f40.glb,160
approaching/ferrari_f40_yaw_180.png,approaching,ferrari_f40.glb,180
approaching/ferrari_f40_yaw_190.png,approaching,ferrari_f40.glb,190
approaching/ferrari_f40_yaw_200.png,approaching,ferrari_f40.glb,200
approaching/ferrari_f40_yaw_210.png,approaching,ferrari_f40.glb,210
approaching/ferrari_f40_yaw_220.png,approaching,ferrari_f40.glb,220
approaching/ford_bronco_raptor_yaw_140.png,approaching,ford_bronco_raptor.glb,140
approaching/ford_bronco_raptor_yaw_150.png,approaching,ford_bronco_raptor.glb,150
approaching/ford_bronco_raptor_yaw_160.png,approaching,ford_bronco_raptor.glb,160
approaching/ford_bronco_raptor_yaw_170.png,approaching,ford_bronco_raptor.glb,170
approaching/ford_bronco_raptor_yaw_180.png,approaching,ford_bronco_raptor.glb,180
approaching/ford_bronco_raptor_yaw_220.png,approaching,ford_bronco_raptor.glb,220
approaching/hyundai_vision_n_yaw_140.png,approaching,hyundai_vision_n.glb,140
approaching/hyundai_vision_n_yaw_170.png,approaching,hyundai_vision_n.glb,170
approaching/hyundai_vision_n_yaw_180.png,approaching,hyundai_vision_n.glb,180
approaching/hyundai_vision_n_yaw_190.png,approaching,hyundai_vision_n.glb,190
approaching/hyundai_vision_n_yaw_220.png,approaching,hyundai_vision_n.glb,220
approaching/lamborgini_gallardo_yaw_140.png,approaching,lamborgini_gallardo.glb,140
approaching/lamborgini_gallardo_yaw_150.png,approaching,lamborgini_gallardo.glb,150
approaching/lamborgini_gallardo_yaw_160.png,approaching,lamborgini_gallardo.glb,160
approaching/lamborgini_gallardo_yaw_170.png,approaching,lamborgini_gallardo.glb,170
approaching/lamborgini_gallardo_yaw_180.png,approaching,lamborgini_gallardo.glb,180
approaching/lamborgini_gallardo_yaw_190.png,approaching,lamborgini_gallardo.glb,190
approaching/lamborgini_gallardo_yaw_200.png,approaching,lamborgini_gallardo.glb,200
approaching/lamborgini_gallardo_yaw_210.png,approaching,lamborgini_gallardo.glb,210
approaching/lancia_delta_integrale_evo_yaw_150.png,approaching,lancia_delta_integrale_evo.glb,150
approaching/lancia_delta_integrale_evo_yaw_160.png,approaching,lancia_delta_integrale_evo.glb,160
approaching/lancia_delta_integrale_evo_yaw_170.png,approaching,lancia_delta_integrale_evo.glb,170
approaching/lancia_delta_integrale_evo_yaw_180.png,approaching,lancia_delta_integrale_evo.glb,180
approaching/lancia_delta_integrale_evo_yaw_190.png,approaching,lancia_delta_integrale_evo.glb,190
approaching/lancia_delta_integrale_evo_yaw_210.png,approaching,lancia_delta_integrale_evo.glb,210
approaching/lancia_delta_integrale_evo_yaw_220.png,approaching,lancia_delta_integrale_evo.glb,220
approaching/mclaren_720s_yaw_150.png,approaching,mclaren_720s.glb,150
approaching/mclaren_720s_yaw_160.png,approaching,mclaren_720s.glb,160
approaching/mclaren_720s_yaw_170.png,approaching,mclaren_720s.glb,170
approaching/mclaren_720s_yaw_180.png,approaching,mclaren_720s.glb,180
approaching/mclaren_720s_yaw_190.png,approaching,mclaren_720s.glb,190
approaching/mclaren_720s_yaw_200.png,approaching,mclaren_720s.glb,200
approaching/mclaren_720s_yaw_210.png,approaching,mclaren_720s.glb,210
approaching/mclaren_720s_yaw_220.png,approaching,mclaren_720s.glb,220
approaching/mercedes_benz_180_ev2_yaw_140.png,approaching,mercedes_benz_180_ev2.glb,140
approaching/mercedes_benz_180_ev2_yaw_150.png,approaching,mercedes_benz_180_ev2.glb,150
approaching/mercedes_benz_180_ev2_yaw_160.png,approaching,mercedes_benz_180_ev2.glb,160
approaching/mercedes_benz_180_ev2_yaw_180.png,approaching,mercedes_benz_180_ev2.glb,180
approaching/mercedes_benz_180_ev2_yaw_190.png,approaching,mercedes_benz_180_ev2.glb,190
approaching/mercedes_benz_180_ev2_yaw_200.png,approaching,mercedes_benz_180_ev2.glb,200
approaching/mercedes_benz_180_ev2_yaw_210.png,approaching,mercedes_benz_180_ev2.glb,210
approaching/mercedes_benz_180_ev2_yaw_220.png,approaching,mercedes_benz_180_ev2.glb,220
approaching/mercedes_benz_eqs_yaw_140.png,approaching,mercedes_benz_eqs.glb,140
approaching/mercedes_benz_eqs_yaw_150.png,approaching,mercedes_benz_eqs.glb,150
approaching/mercedes_benz_eqs_yaw_170.png,approaching,mercedes_benz_eqs.glb,170
approaching/mercedes_benz_eqs_yaw_190.png,approaching,mercedes_benz_eqs.glb,190
approaching/mercedes_benz_eqs_yaw_210.png,approaching,mercedes_benz_eqs.glb,210
approaching/mercedes_maybach_s650_pullman_yaw_140.png,approaching,mercedes_maybach_s650_pullman.glb,140
approaching/mercedes_maybach_s650_pullman_yaw_150.png,approaching,mercedes_maybach_s650_pullman.glb,150
approaching/mercedes_maybach_s650_pullman_yaw_160.png,approaching,mercedes_maybach_s650_pullman.glb,160
approaching/mercedes_maybach_s650_pullman_yaw_180.png,approaching,mercedes_maybach_s650_pullman.glb,180
approaching/mercedes_maybach_s650_pullman_yaw_190.png,approaching,mercedes_maybach_s650_pullman.glb,190
approaching/mercedes_maybach_s650_pullman_yaw_220.png,approaching,mercedes_maybach_s650_pullman.glb,220
approaching/mg_t-type_yaw_140.png,approaching,mg_t-type.glb,140
approaching/mg_t-type_yaw_160.png,approaching,mg_t-type.glb,160
approaching/mg_t-type_yaw_170.png,approaching,mg_t-type.glb,170
approaching/mg_t-type_yaw_180.png,approaching,mg_t-type.glb,180
approaching/mg_t-type_yaw_200.png,approaching,mg_t-type.glb,200
approaching/mg_t-type_yaw_220.png,approaching,mg_t-type.glb,220
approaching/porsche_911_carrera_4_yaw_140.png,approaching,porsche_911_carrera_4.glb,140
approaching/porsche_911_carrera_4_yaw_160.png,approaching,porsche_911_carrera_4.glb,160
approaching/porsche_911_carrera_4_yaw_170.png,approaching,porsche_911_carrera_4.glb,170
approaching/porsche_911_carrera_4_yaw_190.png,approaching,porsche_911_carrera_4.glb,190
approaching/porsche_911_carrera_4_yaw_200.png,approaching,porsche_911_carrera_4.glb,200
approaching/porsche_911_carrera_4_yaw_210.png,approaching,porsche_911_carrera_4.glb,210
approaching/porsche_911_carrera_4_yaw_220.png,approaching,porsche_911_carrera_4.glb,220
approaching/rolls_royce_ghost_2021_yaw_140.png,approaching,rolls_royce_ghost_2021.glb,140
approaching/rolls_royce_ghost_2021_yaw_170.png,approaching,rolls_royce_ghost_2021.glb,170
approaching/rolls_royce_ghost_2021_yaw_180.png,approaching,rolls_royce_ghost_2021.glb,180
approaching/rolls_royce_ghost_2021_yaw_190.png,approaching,rolls_royce_ghost_2021.glb,190
approaching/rolls_royce_ghost_2021_yaw_200.png,approaching,rolls_royce_ghost_2021.glb,200
approaching/tesla_cybertruck_yaw_140.png,approaching,tesla_cybertruck.glb,140
approaching/tesla_cybertruck_yaw_150.png,approaching,tesla_cybertruck.glb,150
approaching/tesla_cybertruck_yaw_160.png,approaching,tesla_cybertruck.glb,160
approaching/tesla_cybertruck_yaw_180.png,approaching,tesla_cybertruck.glb,180
approaching/tesla_cybertruck_yaw_190.png,approaching,tesla_cybertruck.glb,190
approaching/tesla_cybertruck_yaw_200.png,approaching,tesla_cybertruck.glb,200
approaching/tesla_cybertruck_yaw_210.png,approaching,tesla_cybertruck.glb,210
approaching/toyota_land_cruiser_200_yaw_160.png,approaching,toyota_land_cruiser_200.glb,160
approaching/toyota_land_cruiser_200_yaw_170.png,approaching,toyota_land_cruiser_200.glb,170
approaching/toyota_land_cruiser_200_yaw_180.png,approaching,toyota_land_cruiser_200.glb,180
approaching/toyota_land_cruiser_200_yaw_190.png,approaching,toyota_land_cruiser_200.glb,190
approaching/toyota_land_cruiser_200_yaw_200.png,approaching,toyota_land_cruiser_200.glb,200
approaching/toyota_land_cruiser_200_yaw_210.png,approaching,toyota_land_cruiser_200.glb,210
approaching/toyota_land_cruiser_200_yaw_220.png,approaching,toyota_land_cruiser_200.glb,220
approaching/volkswagen_beetle_yaw_140.png,approaching,volkswagen_beetle.glb,140
approaching/volkswagen_beetle_yaw_150.png,approaching,volkswagen_beetle.glb,150
approaching/volkswagen_beetle_yaw_160.png,approaching,volkswagen_beetle.glb,160
approaching/volkswagen_beetle_yaw_170.png,approaching,volkswagen_beetle.glb,170
approaching/volkswagen_beetle_yaw_190.png,approaching,volkswagen_beetle.glb,190
approaching/volkswagen_beetle_yaw_200.png,approaching,volkswagen_beetle.glb,200
approaching/volvo_s90_yaw_140.png,approaching,volvo_s90.glb,140
