filename,relative_path,label,yaw_deg,model_name,model_path,image_width,image_height,camera_location,camera_target
audi_a7_yaw_000.png,leaving/audi_a7_yaw_000.png,leaving,0,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -2.95143, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_010.png,leaving/audi_a7_yaw_010.png,leaving,10,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -3.21322, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_020.png,leaving/audi_a7_yaw_020.png,leaving,20,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -3.62013, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_030.png,leaving/audi_a7_yaw_030.png,leaving,30,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -3.91878, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_040.png,leaving/audi_a7_yaw_040.png,leaving,40,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.09868, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_050.png,moving_right/audi_a7_yaw_050.png,moving_right,50,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.56226, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_060.png,moving_right/audi_a7_yaw_060.png,moving_right,60,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.75364, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_070.png,moving_right/audi_a7_yaw_070.png,moving_right,70,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.80161, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_080.png,moving_right/audi_a7_yaw_080.png,moving_right,80,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.13377, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_090.png,moving_right/audi_a7_yaw_090.png,moving_right,90,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.36289, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_100.png,moving_right/audi_a7_yaw_100.png,moving_right,100,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.43002, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_110.png,moving_right/audi_a7_yaw_110.png,moving_right,110,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.3743, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_120.png,moving_right/audi_a7_yaw_120.png,moving_right,120,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.36022, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_130.png,moving_right/audi_a7_yaw_130.png,moving_right,130,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -5.18392, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_140.png,approaching/audi_a7_yaw_140.png,approaching,140,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.68777, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_150.png,approaching/audi_a7_yaw_150.png,approaching,150,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.36637, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_160.png,approaching/audi_a7_yaw_160.png,approaching,160,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.0745, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_170.png,approaching/audi_a7_yaw_170.png,approaching,170,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.13793, 1.15)","(0, 0, 0.8)"
audi_a7_yaw_180.png,approaching/audi_a7_yaw_180.png,approaching,180,audi_a7.glb,D:/JRM-O/assets/models/audi_a7.glb,512,512,"(0, -4.15329, 1.15)","(0, 0, 0.8)"
